Validator Wallet Address,,Amount of CHT
chronic1fd2cwf4fwxwk77lx85y9s8qa9hts5znkd023kh,,2000
chronic14uu0awcuwz5nltgt64e0dk37whd7qhdsg6ngp7,,2000
chronic184utpxxzlgalyk9nlavxcg8fvpqctft2apzt7x,,2000
chronic1tcj5327d080evnde94dmn2fclysgm6srhkj55z,,2000
chronic152074zlxfd42cxlyq09asy4za20w58pqk5gjfc,,2000
chronic176ku0pfgfmsse9alwv0skps7yq8xf7fc9f9wzm,,2000
chronic19f0w9svr905fhefusyx4z8sf83j6et0gax833x,,2000
chronic1vm9d3anadzxxw7sp6y57d98dtv2mayxvl4qg34,,2000
chronic1ahjjfn3jhmfytaevfdcfn6c0rtkqejaax5kw3j,,2000
chronic1jxcd8vlhr3nlzegd98m2zm4amrma6tz5mktwx6,,2000
chronic1x8czjpdy2x9svz0s3u9hdgqxd06ta39y9npdtn,,2000
chronic1v3wjkc94lpq5g7k26d9y87ehh36fm4mxwfnygc,,2000
chronic10zrye843ux4cwruwq9cku9fj2p7336mm438jvl,,2000
chronic1j4jc5fll4m2k3epnmds0v5580f0dkfescaw05x,,2000
chronic1fl4kq4m2kkl9udytq407aey54k34fujcg65z9m,,2000
chronic1ph4v9wugnznx36qxr6m27ennq2pcxn9j9uevs2,,2000
chronic1rwyn6w46u3067enhpdceqasg2um8dddt3nj0sy,,2000
chronic1furvpwqkd8kcarmpslrmhdltazyx5z2q3v6xdx,,2000
chronic1skeqnjwmjpv50n5lak2kzj6ujz59gu4mq67ml6,,2000
chronic19fm339n2rw3qpvw0g429h0v8lkyr7erfcdmmxp,,2000
chronic105rzlcracxe9r32h8flpn4kpw8waqueqexd8c2,,2000
chronic1y64wre98vqyfldmg626x0g34hll7ksdhtcxduz,,2000
chronic1whnc4s5qqe3uwsvpqk9qeyr999p7zq446vtjgd,,2000
chronic1pkpkgxlrdzzgur5h3v8sdrhs0yjpgdjd7ka57c,,2000
chronic1584fv0mmx8mhea67tx2lhjtvkyg47klugjxup3,,2000
chronic1uewdqsfm5vaz2fh3c32u8sef5keqww56g5ykj8,,2000
chronic1t40kwgejv2342wgqdjmljmzxtcsyfyty9tec5q,,2000
chronic13w9zq85yuk8jud83h2qncrzlsfq9s48k7f7a36,,2000
chronic1ectz65a29n6tsxwqeydgzzfgk3f0qwzczck85p,,2000
chronic16ja4hfycdezepye23x396rkwvn2rhlznkx24uy,,2000
chronic1qlql9g97jt93d8g7s530dht756w37xmh00ntyf,,2000
chronic1ugx0mq54hn02q86dlhtmt2ysn89qgjv8xlavx5,,2000
chronic1udeg0kfc3p933jg0ztrclehttw5ktcwdzvw5z9,,2000
chronic1r6d3mnmmjlkfr0rwv2r6s24w3ptxuug5xqqmu3,,2000
chronic140l6y2gp3gxvay6qtn70re7z2s0gn57z355yvt,,2000
chronic136nrlhags2a78f2ue3au72clvnvqhk62xymg9y,,2000
chronic122df6dr7cux9t4232rdzmaer2avcyyl2mxd0r0,,2000
chronic1m3sflptxal53ny3rzh9mf3sppjj3wgq6s54l8u,,2000
chronic1jvxrlcmyn55xryp8gl4dx3332mx37jazrlwcny,,2000
