Cosmos Address,Chronic Address,ATOM,OSMO,
cosmos14eygcfdmwpl00nw2amqpujg73nyy59az8kacng,chronic14eygcfdmwpl00nw2amqpujg73nyy59az6m6cez,1.3201,0.2872,0.04%
cosmos16zmdz49qzqfwzc2nuh482jqvsm3um2qjkf5ag4,chronic16zmdz49qzqfwzc2nuh482jqvsm3um2qjtynazl,2.8386,0.6175,0.08%
cosmos16zmdz49qzqfwzc2nuh482jqvsm3um2qjkf5ag4,chronic16zmdz49qzqfwzc2nuh482jqvsm3um2qjtynazl,0.6977,0.1518,0.02%
cosmos1678zmd3hmjl8vatdqu9hesyx533sqpdrrsexfz,chronic1678zmd3hmjl8vatdqu9hesyx533sqpdr7a7xrg,4.4186,0.9612,0.12%
cosmos1y4s2fc3c095xfmqpx9ts4pnydfml7evpvjzf3h,chronic1q8c84cpgcu0jzq2fj8d3e2566s2g9x5n29pu2s,10.2600,2.2319,0.27%
cosmos17p9wrxlfnq75rfdz3qnwtp27q8gh2hhev9dfq7,chronic1uppp9a26j07ygtdtwr2ydzx4phqw6kprjh068m,0.9918,0.2158,0.03%
cosmos1r3lwh5zzuwpwjqyz6hh9f4d7t9wlrlsgau4z55,chronic1r3lwh5zzuwpwjqyz6hh9f4d7t9wlrlsgq3jz77,12.5514,2.7304,0.34%
cosmos1vxmqnqmy9fjsdnjweuxq47vzz7juzdkdgh2un2,chronic1vxmqnqmy9fjsdnjweuxq47vzz7juzdkd46dueq,108.5713,23.6180,2.91%
cosmos1y99g82vxysktka7x34myqkyse6upn9dyl4r4ph,chronic14qf0sxuhzj2fdux9mpuh4um7xj869xqxuyns6e,24.1110,5.2450,0.65%
cosmos1y99g82vxysktka7x34myqkyse6upn9dyl4r4ph,chronic14qf0sxuhzj2fdux9mpuh4um7xj869xqxuyns6e,21.6760,4.7153,0.58%
cosmos1l756zlc39rqk53gase0fxlp5fjvhear6yztphw,chronic16hmt5mz9dvtgtl7xds6p980n9zd56cdtfm4dsl,9.3298,2.0295,0.25%
cosmos13mlgdynwangw8tdx55eu6ah6w8ml9d7e4k9jy5,chronic1ql2yp5j945r2uldna2kczpd4arqnxycruy33gr,6.0397,1.3138,0.16%
cosmos1g24jgrwvqc6lhxj8ehesdkmwe3yva9987f8ch5,chronic1g24jgrwvqc6lhxj8ehesdkmwe3yva998ryqca7,2.3940,0.5208,0.06%
cosmos19du42skszg5837qxa4pdmuzvhlpgc9x07vvc42,chronic19du42skszg5837qxa4pdmuzvhlpgc9x0rptclq,83.7216,18.2124,2.24%
cosmos1u7dtgxpslh7zcfa4aj2hk6dclwgqtxu2j5qz4d,chronic1hk4p8n7xjkpllxl77dgr2rhhhaajfztxaj5cul,4.1040,0.8928,0.11%
cosmos1jzyjp3lljmtakjkkhyj8ag3l0gkgk8jfkmvap6,chronic190trxzngqkvjyf5k768qcqqqpqlmcysktr8v76,12.2162,2.6575,0.33%
cosmos1t076ukjx9t5wm8w292a3qxfkk0pf75ty58hjpd,chronic1t076ukjx9t5wm8w292a3qxfkk0pf75tyf2sjt8,54.7200,11.9035,1.47%
cosmos1aad9mys0kg2qe7rrfe0zugkf0r9hdh2exezdkm,chronic1aad9mys0kg2qe7rrfe0zugkf0r9hdh2em59du3,11.2723,2.4521,0.30%
cosmos1hjgjylx298juvne3hhdr0v07hh623d9msxujay,chronic1hjgjylx298juvne3hhdr0v07hh623d9mdtmjhw,3.9604,0.8615,0.11%
cosmos14ua43vznemvgdw9rj477uacgedktrdvjyk7ufg,chronic14ua43vznemvgdw9rj477uacgedktrdvjemeurz,5.0069,1.0892,0.13%
cosmos14v7smntsuvhqvxzh8p49xppzqgmckx5vap64mg,chronic15m0fylnwxywsjanmj7nacm7ent2zplpyj0xqdt,1.2996,0.2827,0.03%
cosmos1jlk8az49fdp02903f2cyvfj5vfm9mp64x2x6m9,chronic19qpfck2v7sa22p2uwvk8nvqemxmwdeum7g45dy,0.6977,0.1518,0.02%
cosmos1yvpv5y4xjrlgtp5hvta30nvw9543z2hd2th2c6,chronic1740w3hxzpv9eecf6e9wwytux02fj2tdvswn8my,5.8824,1.2796,0.16%
