Address,Moniker,ORIGINAL STAKE,Link
 chronicvaloper1j4jc5fll4m2k3epnmds0v5580f0dkfesgts3jy,ZenChainLabs,2905150,https://www.skynetexplorers.com/chronic-token/tx/45FF737B22F6BDA8621FF415FD8CE57B95AC22813113DD25C32C0B89F2EE0644
 chronicvaloper1gwkxjc9rkgygvn3lqj9nv9t8cp99ttwch3453r,SmartNodes,2370500,Jailed
 chronicvaloper1ahjjfn3jhmfytaevfdcfn6c0rtkqejaakzgshs,xiti,2061571,https://www.skynetexplorers.com/chronic-token/tx/480800CF8A23010AF86BD3C07CE1A769C2ADDBFB38B4D1B9F315795E00AA3E69
 chronicvaloper1wd02ktcvpananlvd9u6jm3x3ap3vmw59kcfxf0,Lavender.Five Nodes,2047099,https://www.skynetexplorers.com/chronic-token/tx/630C6D0605930EE9AD2F6E1FF90C5CA04C4AEB9528F0B14AA26615CFDADA0A18
 chronicvaloper1skeqnjwmjpv50n5lak2kzj6ujz59gu4msvq9ec,Leonoor's Cryptoman,1799999,https://www.skynetexplorers.com/chronic-token/tx/7D575F87F3481F6E9EE74B3EEA52C81F242B5595CE03C2F1E9F580E2F53B15CC
 chronicvaloper176ku0pfgfmsse9alwv0skps7yq8xf7fc4lmsye,PandaTeam,1705190,https://www.skynetexplorers.com/chronic-token/tx/DEC64F0CD28535CDD92A780184C2128FEF430A74F4131F0C876C59B66670AB32
 chronicvaloper18umznvpzh9kj78jyf2kuhhte43tjxlau7sw8ar,FireStake,1608001,n/a
 chronicvaloper1jxcd8vlhr3nlzegd98m2zm4amrma6tz5tq4sqc,BVS,1530000,https://www.skynetexplorers.com/chronic-token/tx/8C26425F75DD69887CCF917165904131139D7BC09E4C96E1D51853BA2CCC07EE
 chronicvaloper1whnc4s5qqe3uwsvpqk9qeyr999p7zq44264vw0,StakeTake,1516100,https://www.skynetexplorers.com/chronic-token/tx/BFF86EAD4169F081F292FE0FF49264DAE5C3EB6B514726E7BC4015607B052BE0
 chronicvaloper1ectz65a29n6tsxwqeydgzzfgk3f0qwzcjwgejr,hdmiimdh,1440010,good
 chronicvaloper1fd2cwf4fwxwk77lx85y9s8qa9hts5znkae50s4,79anvi,1440000,https://www.skynetexplorers.com/chronic-token/tx/BD068D5DC288809494A9DDF0CC41C436A5E703E72EC6EF729304B921817AFD1A
 chronicvaloper1x8czjpdy2x9svz0s3u9hdgqxd06ta39y49lnd3,cyberG,1420000,jailed
 chronicvaloper1g33zugzkdxtrhr3nqm29dcwdmudrrfp9y0897t,POSTCAPITALIST🎩,1414440,TBD
 chronicvaloper1mxpyg8u68k6a8wdu3hs5whcpw9q285pc9jh75t,web34ever,1414200,https://www.skynetexplorers.com/chronic-token/tx/25DBC3F2A6A10D9533492D5D2161086C8E1E69894E0924DBE36D866C44883CA8
 chronicvaloper1asp04l32g056gytca457usvy4fpyc0fvnw55v7,WhisperNode🤐,1352921,TBD
 chronicvaloper1rwyn6w46u3067enhpdceqasg2um8dddtp9v3kx,vbloher,1336943,https://www.skynetexplorers.com/chronic-token/tx/F7B0A03BE177A61CF7193ABC98919BBD076650A787B43C74F19A069437674C4A
 chronicvaloper152074zlxfd42cxlyq09asy4za20w58pqxzkv06,Goooodnes,1329450,https://www.skynetexplorers.com/chronic-token/tx/9D484142C1B34BA6FEA7B0AC2EEE78C9F2636A1C60C0C75FE743CE0BBBC5C097
 chronicvaloper10zrye843ux4cwruwq9cku9fj2p7336mm98ev2a,High Stakes 🇨🇭,1320000,https://www.skynetexplorers.com/chronic-token/tx/A28974D70B1D29BA64DFC162534D044FE1AE0E1B8B0151FAC5BB48D5CC15C37E
 chronicvaloper1py72mk7tqxvkwplujlp3c6h958uf4agpvngfpf,Papsan,1304200,https://www.skynetexplorers.com/chronic-token/tx/FFEF61923294D95EF0AC99D04273C92A7CF4DD32ABBFAEE105EBE9DD482D5255
 chronicvaloper1584fv0mmx8mhea67tx2lhjtvkyg47klucycz8n,Chill Validation,1280000,https://www.skynetexplorers.com/chronic-token/tx/63DFD0F8AA3438D8381C0E74BDABDA7BD81573BA1A0EECC5B1F468CD94DCD843
 chronicvaloper1vxcl4rvtcs6mglqkmg23m4lgzvhta4dg5e49n6,gloreix,1270100,TBD
 chronicvaloper1m7ynxd855ncahh9njehtflzz539aa3yktgp7ra,Anode,1262444,TBD
 chronicvaloper1jvxrlcmyn55xryp8gl4dx3332mx37jaznfsx4x,WoodySP,1247299,https://www.skynetexplorers.com/chronic-token/tx/1BA8160A27C4D1A81A1DF6DDFB34520004B3EDEAA437F019FC47466543C2B80F
 chronicvaloper1r6d3mnmmjlkfr0rwv2r6s24w3ptxuug5kk796n,elsehow,1199101,TBD
 chronicvaloper1t40kwgejv2342wgqdjmljmzxtcsyfyty4a8xjz,Jupiter.Jones,1138110,https://www.skynetexplorers.com/chronic-token/tx/74111872842F7B09DD322C45708A846D02BC3114946F768C496BC7634EAA5774
 chronicvaloper105rzlcracxe9r32h8flpn4kpw8waqueqfsne7g,bonded.zone,1003001,https://www.skynetexplorers.com/chronic-token/tx/FC4E02D8850394E1C87465877FCE32E67B3AAD97695A4262B89B6F8C9EF926C5
 chronicvaloper1uewdqsfm5vaz2fh3c32u8sef5keqww56cz6g59,morocco2,1390680,N/A
 chronicvaloper13w9zq85yuk8jud83h2qncrzlsfq9s48kwlqrhc,maxfoton,1000100,https://www.skynetexplorers.com/chronic-token/tx/C94F9AEE7436049BD8562F2CA09BE54178625611EAB8C82309C4CD32E713D698
 chronicvaloper1ph4v9wugnznx36qxr6m27ennq2pcxn9j428jkg,GPvalidator,981110,https://www.skynetexplorers.com/chronic-token/tx/614E4D4156FA24B91FC607DFCF17909C3C4ADDA74711D3FD4AD4A867C1BDC3D5
 chronicvaloper1udeg0kfc3p933jg0ztrclehttw5ktcwdj6s2y8,NodeSy,974298,TBD
 chronicvaloper1me6nnxjn4p2u5vafnelzd57dfckjc72kkcrhwf,The Pizza Tech,944200,TBD
 chronicvaloper1qlql9g97jt93d8g7s530dht756w37xmhled4zt,moonsoon,910100,https://www.skynetexplorers.com/chronic-token/tx/AC4BC3380FDE3425624A3FF7AB7933FC20534235736CB29C8B91428741AF2F5F
 chronicvaloper1v3wjkc94lpq5g7k26d9y87ehh36fm4mx7ld6w6,Dstake,787000,https://www.skynetexplorers.com/chronic-token/tx/952C5F9BBB12E98BD736AD92D6F442B679FCDFC952728E946714DB30B658522B
 chronicvaloper1pkpkgxlrdzzgur5h3v8sdrhs0yjpgdjdwqr2c6,AlxVoy,660099,https://www.skynetexplorers.com/chronic-token/tx/DB7A392B9C1FCD1BAAED010926311D9E54F95E0D67CF22BF688BE6EA68F378E5
 chronicvaloper19f0w9svr905fhefusyx4z8sf83j6et0gdse0hy,NodeStake.top,614200,https://www.skynetexplorers.com/chronic-token/tx/289D45A52365DCBBDA1A7E81E846F57EA9DA7C60CD9BF2121E15592F3C579675
 chronicvaloper1y64wre98vqyfldmg626x0g34hll7ksdhmwcn6q,StingRay,419099,https://www.skynetexplorers.com/chronic-token/tx/6DF2D55C43FD38F1BB177CDF909F1536FA25990FDD916362D88C36D630AF96A9
 chronicvaloper136nrlhags2a78f2ue3au72clvnvqhk62kj9krx,lesnik_utsa,100000000,https://www.skynetexplorers.com/chronic-token/tx/2246DDD886E1ACFFED0E52DEB19C2EB4B268208B3515F25D7697357B60F6E54F
 chronicvaloper1tcj5327d080evnde94dmn2fclysgm6sr8qv2jq,STAVR,99999000,https://www.skynetexplorers.com/chronic-token/tx/9EDB44DF901EAD67B353128A13F93E9231731E70D17C1D07C5B6F1D54C009DAF
 chronicvaloper14uu0awcuwz5nltgt64e0dk37whd7qhdscvdk8u,cryptobtcbuyer,99990000,https://www.skynetexplorers.com/chronic-token/tx/445B0D64A25283CCD1412845D2282738DE3B03F26462D449AA22FA186613DED7
 chronicvaloper1sftpevfdtjzuyxy33lrqkdysvm3ftkan0hz3z6,moro,,TBD
 chronicvaloper16ja4hfycdezepye23x396rkwvn2rhlznxs5t6x,Biker4b,1988012,TBD
 chronicvaloper122df6dr7cux9t4232rdzmaer2avcyyl2tsn39d,OtterSync,1000000,https://www.skynetexplorers.com/chronic-token/tx/9E15B7EA7D8748F352F573B5213C10DF6DDDE7A1CA232417FB08168762AB8E7A
 chronicvaloper1l5u2zapzt4sz34xkwaytkkn90c6zrm3ctrc3ek,hungcc,999000,TBD
chronicvaloper184utpxxzlgalyk9nlavxcg8fvpqctft2dhu4cy ,bloscope,2856435,https://www.skynetexplorers.com/chronic-token/tx/E6A636AB78411ED34E82D31B26EA2698981DB69F882EA53A0B2AA7A095EC5DA4
chronicvaloper1m3sflptxal53ny3rzh9mf3sppjj3wgq6qztpp7 ,bloclick,2318871,https://www.skynetexplorers.com/chronic-token/tx/480800CF8A23010AF86BD3C07CE1A769C2ADDBFB38B4D1B9F315795E00AA3E69
chronicvaloper1ugx0mq54hn02q86dlhtmt2ysn89qgjv8kfrjqk ,staking cabin,2044200,TBD
chronicvaloper19fm339n2rw3qpvw0g429h0v8lkyr7erfgm99qr ,lit,1799999,https://www.skynetexplorers.com/chronic-token/tx/C445CF236C932645169ADE14381EB277B7D53250DAB55FE6794A168EB3A029F5
chronicvaloper1furvpwqkd8kcarmpslrmhdltazyx5z2qp6ycty ,azstake,1430100,https://www.skynetexplorers.com/chronic-token/tx/B51387364B3A91448C7D8EB143564B89A5B2E1681326200A5A5454FE2D11C286
